"A. GENERAL INFORMATION AND SYSTEM OVERVIEW";"A. General information and design";"A. Información general y esquema del sistema"
"B. INTERVENTION";"B. Supervision";"B. Intervención"
"C. FINANCIAL, HUMAN, AND LOGISTICS RESOURCES";"C. Financial, human, and logistical resources";"C. Recursos financieros, humanos y logísticos"
"D1. Services for providers (community managed water service providers, or Community Water Boards – CWBs)";"D1. Number of Communities - Technical assistance given to service providers (e.g. water committee, Community Water Boards (CWBs), etc.)";"D1. Cantidad de comunidades - Servicios brindados a los prestadores (Juntas, CAPS, etc.)"
"D. TYPE OF SUPPORT";"D. Type of support";"D. Tipo de apoyo"
"E. COMMENTS";"E. Comments";"E. Comentarios"
"A. General Information and System Schema";"A. General information and design";"A. Información general y esquema del sistema"
"A2. Other divisions";"A2. Other Administrative and/or Geographical Divisions";"A2. Otras divisiones"
"A3. Initial construction financing sources";"A3. Initial Source(s) of Construction Financing";"A3. Fuentes de financiamiento de la construcción inicial"
"A4. System refurbishments and/or expansions";"A4. Refurbishment(s) and/or Expansion(s)";"A4. Rehabilitaciones y/o ampliaciones del sistema"
"Financing Source";"Source(s) of financing";"Origen financiación"
"Program";"Specific program(s) from which funds originated (if applicable) ";"Programa"
"A6. Is there sufficient water in the source(s) to meet demand?";"A6. Are there adequate water resources (at the source) to meet demand?";"A6. ¿Hay suficiente agua en las fuentes en función de la demanda?"
"A7. Water supply system sketch";"A7. Water Supply System Design";"A7. Croquis del sistema de abastecimiento de agua"
"B. Water source and catchment";"B. Water source and/or water intake works";"B. Fuente y captación de agua"
"Source and/or catchment";"Water Source and/or Water Intake Works";"Fuente y/o captación"
"Name of the Source";"Name of Source and/or Intake";"Nombre de la fuente"
"Source Code";"Source and/or Intake Code";"Código de la fuente"
"Is it the primary source for the system?";"Is this the primary source and/or intake? (only one source/intake may be designated as primary)";"¿Es la fuente principal del sistema? (sólo debe ser una entre todas las asociadas)"
"Source Flow";"Flow rate";"Caudal de la fuente"
"Source Flow in the Dry Season";"Dry season flow rate";"Caudal de la fuente en epoca seca"
"B2. Status of the area near the source or system water intake";"B2. Environmental conditions surrounding the source and/or intake (e.g. riverbanks, recharge zones, well fields, etc.)";"B2. Estado de zona cercana a la fuente o toma de agua del sistema"
"B4. Physical condition of water catchment infrastructure";"B4. State of Water Intake Infrastructure";"B4. Estado físico de la infraestructura de captación de agua"
"C.PIPELINE";"C. Transmission line(s)";"C. Línea de conducción"
"C1. Water mains";"C1. Water Transmission Line(s)";"C1. Línea(s) de conducción"
"C2. Physical condition of the water mains";"C2. State of Water Transmission Line(s)";"C2. Estado físico de la infraestructura de conducción de agua"
"D2. Physical condition of water treatment infrastructure";"D2. State of Water Treatment Infrastructure";"D2. Estado físico de la infraestructura de tratamiento de agua"
"F1. Water distribution ";"F1. Water Distribution Network";"F1. Distribución de agua"
"F3. Average distance from homes to the standpipes ";"F3. Average Distance from Household to Public Standpost";"F3. Distancia promedio de las casas a puntos de toma de agua públicos"
"(to be completed only for households without house connections)";"(to be completed only for households without house connections)";"(Pozos o sistemas por gravedad / bombeo. No aplica en sistemas con abastecimiento domiciliar. Al contestar este bloque se entiende que la distribución es parcial o totalmente mediante puntos de toma de agua públicos)"
"F4. Physical condition of water distribution infrastructure";"F4. State of Water Distribution Infrastructure";"F4. Estado físico de la infraestructura de distribución de agua"
"G1. Present system flow";"G1. System Flow Rate";"G1. Caudal actual del sistema"
"G3. Household filtration";"G3. Household Water Treatment";"G3. Filtración domiciliaria"
"G2. Disinfection using chlorine";"G2. Chlorine Disinfection";"G2. Desinfección con cloro"
"B. Community Association / Organization Information";"B. Community organization information";"B. Información sobre asociaciones u organizaciones comunitarias"
"B1. Legal Status and Incorporation";"B1. Legal Status";"B1. Estado legal y constitución"
"B2. Board of Directors";"B2. Management Committee";"B2. Junta Directiva"
"Board of Directors: Representatives and Technicians";"B3. Management Committee Representatives and Technicians";"B3. Técnicos y representantes de Junta Directiva"
"C. Finantial information. Regular income";"C. Financial information: regular income  ";"C. Información económica. Ingresos regulares"
"C3. Is the community familiar with the rate payment mechanism and is it regularly applied?";"C3. Is the community familiar with the billing system and are bills issued at a regular frequency?";"C3. ¿La comunidad conoce el mecanismo de pago de la tarifa y se aplica de forma regular?"
"C4. Is there water metering information?";"C4. Are metering data available?";"C4. ¿Se tiene información sobre la medición del agua?"
"C5. Billing, Payment, and Income";"C5. Billing, Payment and Revenue";"C5. Pago, facturación e ingresos"
"D. FINANCIAL INFORMATION: ADDITIONAL INCOME ";"D. Financial information: additional revenue ";"D. Información económica. Ingresos extraordinarios"
"E. FINANCIAL INFORMATION: EXPENDITURES";"E. Financial information: expenditures";"E. Información económica. Gastos"
"F. FINANCIAL INFORMATION: SAVINGS";"F. Financial information: Working capital";"F. Información económica. Ahorros"
"F2. Are there available funds?";"F2. Is liquid capital available?";"F2. Fondos disponibles"
"G. OPERATIONS AND MAINTENANCE";"G. Operation and maintenance (O&M)";"G. Operación y mantenimiento"
"H. OPERATIONS AND MAINTENANCE";"H. Operation and maintenance (O&M)";"H. Operación y mantenimiento"
"I. COMMENTS";"I. Comments";"I. Comentarios"
